window,discipline,topic,topic_keywords,N,N_rel
1980-1984,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",2,0.6666666666666666
1980-1984,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",1,0.3333333333333333
1980-1984,Engineering and Technology,1,"energy, market, power, game, electricity, based, demand, proposed, model, carbon",1,0.125
1980-1984,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",6,0.75
1980-1984,Engineering and Technology,3,"game, data, attacks, model, defense, security, based, privacy, attack, cyber",1,0.125
1980-1984,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",2,0.2222222222222222
1980-1984,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",4,0.4444444444444444
1980-1984,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",1,0.1111111111111111
1980-1984,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",2,0.2222222222222222
1980-1984,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",6,0.8571428571428571
1980-1984,Mathematics,7,"fuzzy, design, method, optimization, game, multiobjective, based, variables, atanassov, function",1,0.14285714285714285
1980-1984,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",2,0.6666666666666666
1980-1984,Political Science,6,"rationality, peace, war, models, rapoport, value, machines, theory, systems, field",1,0.3333333333333333
1980-1984,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",2,1
1981-1985,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",4,0.6666666666666666
1981-1985,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",2,0.3333333333333333
1981-1985,Engineering and Technology,1,"energy, market, power, game, electricity, based, demand, proposed, model, carbon",1,0.16666666666666666
1981-1985,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",4,0.6666666666666666
1981-1985,Engineering and Technology,3,"game, data, attacks, model, defense, security, based, privacy, attack, cyber",1,0.16666666666666666
1981-1985,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",4,0.3076923076923077
1981-1985,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",5,0.38461538461538464
1981-1985,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",1,0.07692307692307693
1981-1985,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.07692307692307693
1981-1985,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",2,0.15384615384615385
1981-1985,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",9,0.9
1981-1985,Mathematics,7,"fuzzy, design, method, optimization, game, multiobjective, based, variables, atanassov, function",1,0.1
1981-1985,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",3,0.5
1981-1985,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",2,0.3333333333333333
1981-1985,Political Science,6,"rationality, peace, war, models, rapoport, value, machines, theory, systems, field",1,0.16666666666666666
1981-1985,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",2,1
1981-1985,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",1,1
1982-1986,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",2,1
1982-1986,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",3,0.75
1982-1986,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",1,0.25
1982-1986,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",4,1
1982-1986,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",5,0.3333333333333333
1982-1986,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",7,0.4666666666666667
1982-1986,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",1,0.06666666666666667
1982-1986,Management and OR,6,"team, decision, group, mediation, framing, members, consensus, committee, game, solution",2,0.13333333333333333
1982-1986,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",9,1
1982-1986,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",3,0.5
1982-1986,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",2,0.3333333333333333
1982-1986,Political Science,6,"rationality, peace, war, models, rapoport, value, machines, theory, systems, field",1,0.16666666666666666
1982-1986,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",2,1
1983-1987,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",3,1
1983-1987,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",10,0.6666666666666666
1983-1987,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",5,0.3333333333333333
1983-1987,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",3,1
