window,field_1,topic,topic_keywords,N,N_rel
1980-1984,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",1,1
1980-1984,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",1,1
1980-1984,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",7,0.7777777777777778
1980-1984,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",1,0.1111111111111111
1980-1984,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",1,0.1111111111111111
1980-1984,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",3,0.23076923076923078
1980-1984,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",4,0.3076923076923077
1980-1984,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",3,0.23076923076923078
1980-1984,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",3,0.23076923076923078
1980-1984,Engineering,1,"energy, power, game, market, electricity, proposed, demand, based, model, charging",1,0.5
1980-1984,Engineering,4,"attack, security, attacks, attacker, game, defender, defense, cyber, systems, model",1,0.5
1980-1984,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",4,0.8
1980-1984,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",1,0.2
1981-1985,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",1,1
1981-1985,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",1,1
1981-1985,"Business, Management and Accounting",7,"bankruptcy, debt, creditors, reorganization, restructuring, equity, liquidation, division, government, asset",1,1
1981-1985,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",8,0.7272727272727273
1981-1985,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",3,0.2727272727272727
1981-1985,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",4,0.3076923076923077
1981-1985,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",3,0.23076923076923078
1981-1985,"Economics, Econometrics and Finance",3,"games, cooperative, mml, core, value, fuzzy, coalition, game, shapley, players",3,0.23076923076923078
1981-1985,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",1,0.07692307692307693
1981-1985,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",2,0.15384615384615385
1981-1985,Engineering,1,"energy, power, game, market, electricity, proposed, demand, based, model, charging",1,0.25
1981-1985,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",2,0.5
1981-1985,Engineering,4,"attack, security, attacks, attacker, game, defender, defense, cyber, systems, model",1,0.25
1981-1985,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",3,0.6
1981-1985,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",1,0.2
1981-1985,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",1,0.2
1982-1986,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",3,1
1982-1986,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",1,1
1982-1986,"Business, Management and Accounting",7,"bankruptcy, debt, creditors, reorganization, restructuring, equity, liquidation, division, government, asset",1,1
1982-1986,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",8,0.6666666666666666
1982-1986,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",4,0.3333333333333333
1982-1986,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",2,0.2
