field_1,topic,topic_keywords,N,N_rel
Agricultural and Biological Sciences,0,"game, model, competition, males, strategies, theory, species, male, models, evolution",100,0.6666666666666666
Agricultural and Biological Sciences,1,"disease, growers, tolerant, crop, vaccination, test, css, resistant, control, farmer",4,0.02666666666666667
Agricultural and Biological Sciences,2,"government, agricultural, game, food, farmers, evolutionary, safety, green, chain, model",46,0.30666666666666664
Arts and Humanities,0,"security, game, nodes, access, corruption, theoretic, cyberwarfare, malicious, 13, paper",11,0.16923076923076924
Arts and Humanities,1,"polite, agents, politeness, strategies, model, requests, human, communication, linguistic, behavior",4,0.06153846153846154
Arts and Humanities,2,"repeated, preferences, player, np, players, mate, turnover, learning, selection, selfish",7,0.1076923076923077
Arts and Humanities,3,"theory, game, decision, logic, epistemic, games, rational, player, nature, rationality",17,0.26153846153846155
Arts and Humanities,4,"optimality, pragmatics, entropy, x0d, game, interpretation, mml, theory, based, ontology",9,0.13846153846153847
Arts and Humanities,5,"patent, firms, industry, firm, industries, goods, thicket, attractiveness, entry, release",4,0.06153846153846154
Arts and Humanities,6,"games, algorithm, stochastic, optimal, black, white, mean, egalitarian, discrete, allocation",7,0.1076923076923077
Arts and Humanities,7,"grid, resource, allocation, users, user, spectrum, prices, incentive, networks, equilibrium",6,0.09230769230769231
"Biochemistry, Genetics and Molecular Biology",0,"host, virulence, model, game, theory, evolutionary, pathogen, disease, vaccine, memory",36,0.3050847457627119
"Biochemistry, Genetics and Molecular Biology",1,"evolutionary, population, species, ess, dynamics, theory, selection, game, fitness, adaptive",27,0.2288135593220339
"Biochemistry, Genetics and Molecular Biology",2,"control, game, robustness, games, networks, network, stochastic, genetic, player, environmental",15,0.1271186440677966
"Biochemistry, Genetics and Molecular Biology",3,"cancer, cells, cell, treatment, tumor, therapy, resistance, mathcal, game, evolutionary",11,0.09322033898305085
"Biochemistry, Genetics and Molecular Biology",4,"molecular, neural, network, elegans, rna, macromolecules, game, theory, molecule, hg2",7,0.059322033898305086
"Biochemistry, Genetics and Molecular Biology",5,"bifurcation, matrix, structured, models, theorem, equilibria, extinction, evolutionary, population, darwinian",7,0.059322033898305086
"Biochemistry, Genetics and Molecular Biology",6,"worker, queens, male, policing, variation, aggression, queen, gp, size, 9bb",6,0.05084745762711865
"Biochemistry, Genetics and Molecular Biology",7,"government, collaborative, innovation, governance, regulation, companies, pesticide, imitation, food, research",5,0.0423728813559322
"Biochemistry, Genetics and Molecular Biology",8,"genes, gene, expression, subnetworks, cancer, snps, adenocarcinoma, samples, identifying, network",4,0.03389830508474576
"Business, Management and Accounting",0,"supply, chain, game, manufacturer, model, retailer, strategy, product, channel, price",1131,0.7421259842519685
"Business, Management and Accounting",1,"service, customers, game, queueing, games, equilibrium, server, allocation, queue, medical",98,0.06430446194225722
"Business, Management and Accounting",2,"innovation, strategic, alliances, alliance, theory, knowledge, research, game, firms, strategy",96,0.06299212598425197
"Business, Management and Accounting",3,"platform, evolutionary, platforms, game, crowdfunding, cloud, manufacturing, supervision, financial, based",78,0.051181102362204724
"Business, Management and Accounting",4,"design, private, project, projects, risk, ppp, public, based, model, game",59,0.03871391076115486
"Business, Management and Accounting",5,"audit, reporting, auditing, enforcement, firms, compliance, cser, tax, policy, lobbying",31,0.020341207349081365
"Business, Management and Accounting",6,"bankruptcy, debt, liquidation, reorganization, game, creditors, corporations, shareholder, shares, equity",19,0.012467191601049869
